Method,Size,Threads,Time,Result
OMP_Reduction,10000000,1,0.0600227,1e+07
Atomic,10000000,1,0.08142,5e+13
Critical,10000000,1,0.933993,5e+13
Locks,10000000,1,1.07567,5e+13
OMP_Reduction,10000000,2,0.0237519,1e+07
Atomic,10000000,2,0.206841,2.5e+13
Critical,10000000,2,1.26904,2.5e+13
Locks,10000000,2,1.35223,2.5e+13
OMP_Reduction,10000000,4,0.0140375,1e+07
Atomic,10000000,4,0.215067,1.25e+13
Critical,10000000,4,1.86781,1.25e+13
Locks,10000000,4,1.83391,1.25e+13
OMP_Reduction,10000000,8,0.01062,1e+07
Atomic,10000000,8,0.209698,6.25e+12
Critical,10000000,8,3.60802,6.25e+12
Locks,10000000,8,4.08146,6.25e+12
OMP_Reduction,10000000,12,0.0097966,1e+07
Atomic,10000000,12,0.209397,4.16667e+12
Critical,10000000,12,13.7344,4.16667e+12
Locks,10000000,12,14.2765,4.16667e+12
OMP_Reduction,10000000,16,0.0117719,1e+07
Atomic,10000000,16,0.211621,3.125e+12
Critical,10000000,16,20.0112,3.125e+12
Locks,10000000,16,20.5361,3.125e+12
OMP_Reduction,10000000,24,0.0093297,1e+07
Atomic,10000000,24,0.220165,2.08334e+12
Critical,10000000,24,28.8884,2.08334e+12
Locks,10000000,24,28.9066,2.08334e+12
OMP_Reduction,10000000,32,0.0082768,1e+07
Atomic,10000000,32,0.218396,1.5625e+12
Critical,10000000,32,37.2076,1.5625e+12
Locks,10000000,32,37.7201,1.5625e+12
