Method,Size,Threads,Time,Result
NoReduction,1000000,1,0.0207386,51
Reduction,1000000,1,0.0087326,51
NoReduction,1000000,2,0.0045963,51
Reduction,1000000,2,0.0038446,51
NoReduction,1000000,4,0.0029104,51
Reduction,1000000,4,0.0019917,51
NoReduction,1000000,8,0.0020984,51
Reduction,1000000,8,0.000975,51
NoReduction,1000000,12,0.0023221,51
Reduction,1000000,12,0.0016791,51
NoReduction,1000000,16,0.0022125,51
Reduction,1000000,16,0.0015199,51
NoReduction,1000000,24,0.0020123,51
Reduction,1000000,24,0.0013413,51
NoReduction,1000000,32,0.0018967,51
Reduction,1000000,32,0.0013056,51
NoReduction,10000000,1,0.0747715,14
Reduction,10000000,1,0.0730921,14
NoReduction,10000000,2,0.0379448,14
Reduction,10000000,2,0.0381545,14
NoReduction,10000000,4,0.0232289,14
Reduction,10000000,4,0.0455841,14
NoReduction,10000000,8,0.0194693,14
Reduction,10000000,8,0.0249998,14
NoReduction,10000000,12,0.0175271,14
Reduction,10000000,12,0.0216785,14
NoReduction,10000000,16,0.0144139,14
Reduction,10000000,16,0.0153257,14
NoReduction,10000000,24,0.0142123,14
Reduction,10000000,24,0.0124353,14
NoReduction,10000000,32,0.0122127,14
Reduction,10000000,32,0.0115814,14
NoReduction,100000000,1,0.447786,0
Reduction,100000000,1,0.43865,0
NoReduction,100000000,2,0.227213,0
Reduction,100000000,2,0.225466,0
NoReduction,100000000,4,0.118553,0
Reduction,100000000,4,0.122948,0
NoReduction,100000000,8,0.0966292,0
Reduction,100000000,8,0.0727356,0
NoReduction,100000000,12,0.08896,0
Reduction,100000000,12,0.0879769,0
NoReduction,100000000,16,0.0978895,0
Reduction,100000000,16,0.099071,0
NoReduction,100000000,24,0.106516,0
Reduction,100000000,24,0.098881,0
NoReduction,100000000,32,0.101093,0
Reduction,100000000,32,0.0988408,0
