Method,Size,Threads,Time,Result
MaxOfMins,1000000,1,0.0060267,-9888
MaxOfMins,1000000,2,0.0012895,-9888
MaxOfMins,1000000,4,0.0011471,-9888
MaxOfMins,1000000,8,0.0008421,-9888
MaxOfMins,1000000,12,0.0008757,-9888
MaxOfMins,1000000,16,0.0007988,-9888
MaxOfMins,1000000,24,0.0011284,-9888
MaxOfMins,1000000,32,0.0013622,-9888
MaxOfMins,25000000,1,0.0801194,-9966
MaxOfMins,25000000,2,0.0256107,-9966
MaxOfMins,25000000,4,0.0118257,-9966
MaxOfMins,25000000,8,0.0090618,-9966
MaxOfMins,25000000,12,0.0108986,-9966
MaxOfMins,25000000,16,0.0090735,-9966
MaxOfMins,25000000,24,0.0094997,-9966
MaxOfMins,25000000,32,0.0090865,-9966
MaxOfMins,100000000,1,0.163771,-9978
MaxOfMins,100000000,2,0.0981821,-9978
MaxOfMins,100000000,4,0.0503112,-9978
MaxOfMins,100000000,8,0.0311494,-9978
MaxOfMins,100000000,12,0.036424,-9978
MaxOfMins,100000000,16,0.0368106,-9978
MaxOfMins,100000000,24,0.0341131,-9978
MaxOfMins,100000000,32,0.0366962,-9978
