Method,Size,Threads,Time,Result
Rectangle method,100000,1,0.0053412,2
Rectangle method,100000,2,0.0013679,2
Rectangle method,100000,4,0.0006477,2
Rectangle method,100000,8,0.0011393,2
Rectangle method,100000,12,0.0024398,2
Rectangle method,100000,16,0.0009613,2
Rectangle method,100000,24,0.0007091,2
Rectangle method,100000,32,0.0007599,2
Rectangle method,1000000,1,0.010383,2
Rectangle method,1000000,2,0.0151471,2
Rectangle method,1000000,4,0.0042445,2
Rectangle method,1000000,8,0.0091063,2
Rectangle method,1000000,12,0.004767,2
Rectangle method,1000000,16,0.0043359,2
Rectangle method,1000000,24,0.0029015,2
Rectangle method,1000000,32,0.0026356,2
Rectangle method,10000000,1,0.174861,2
Rectangle method,10000000,2,0.0645919,2
Rectangle method,10000000,4,0.0316083,2
Rectangle method,10000000,8,0.0314384,2
Rectangle method,10000000,12,0.0316838,2
Rectangle method,10000000,16,0.0303405,2
Rectangle method,10000000,24,0.0196192,2
Rectangle method,10000000,32,0.020721,2
Rectangle method,100000000,1,1.17505,2
Rectangle method,100000000,2,0.592179,2
Rectangle method,100000000,4,0.30703,2
Rectangle method,100000000,8,0.246702,2
Rectangle method,100000000,12,0.204683,2
Rectangle method,100000000,16,0.214815,2
Rectangle method,100000000,24,0.207903,2
Rectangle method,100000000,32,0.183069,2
