MatrixType,Schedule,Size,Threads,Time,Result
Band,Static,360800,2,0.0005947,1
Band,Static,360800,4,0.0002235,1
Band,Static,360800,8,0.0010374,1
Band,Static,360800,12,0.0003068,1
Band,Static,360800,16,0.0003221,1
Band,Static,360800,24,0.0003838,1
Band,Static,360800,32,0.0004881,1
Band,Dynamic,360800,1,0.0005926,1
Band,Dynamic,360800,2,0.0003419,1
Band,Dynamic,360800,4,0.0002781,1
Band,Dynamic,360800,8,0.0002123,1
Band,Dynamic,360800,12,0.0002724,1
Band,Dynamic,360800,16,0.0003744,1
Band,Dynamic,360800,24,0.0004776,1
Band,Dynamic,360800,32,0.0005634,1
Band,Guided,360800,1,0.0004896,1
Band,Guided,360800,2,0.0003326,1
Band,Guided,360800,4,0.0002138,1
Band,Guided,360800,8,0.0002724,1
Band,Guided,360800,12,0.0002887,1
Band,Guided,360800,16,0.0003409,1
Band,Guided,360800,24,0.0004595,1
Band,Guided,360800,32,0.0005365,1
Band,Static,1441600,1,0.0018924,1
Band,Static,1441600,2,0.0012278,1
Band,Static,1441600,4,0.0006701,1
Band,Static,1441600,8,0.0007023,1
Band,Static,1441600,12,0.0006288,1
Band,Static,1441600,16,0.0006156,1
Band,Static,1441600,24,0.000631,1
Band,Static,1441600,32,0.00073,1
Band,Dynamic,1441600,1,0.001716,1
Band,Dynamic,1441600,2,0.0012794,1
Band,Dynamic,1441600,4,0.0008683,1
Band,Dynamic,1441600,8,0.0007643,1
Band,Dynamic,1441600,12,0.0005859,1
Band,Dynamic,1441600,16,0.0006409,1
Band,Dynamic,1441600,24,0.0006299,1
Band,Dynamic,1441600,32,0.0007534,1
Band,Guided,1441600,1,0.0020273,1
Band,Guided,1441600,2,0.001098,1
Band,Guided,1441600,4,0.0007111,1
Band,Guided,1441600,8,0.0005177,1
Band,Guided,1441600,12,0.0007136,1
Band,Guided,1441600,16,0.0005925,1
Band,Guided,1441600,24,0.0007139,1
Band,Guided,1441600,32,0.0007669,1
Band,Static,9004000,1,0.0119985,1
Band,Static,9004000,2,0.0057568,1
Band,Static,9004000,4,0.0039527,1
Band,Static,9004000,8,0.0031789,1
Band,Static,9004000,12,0.0031008,1
Band,Static,9004000,16,0.0030658,1
Band,Static,9004000,24,0.0028452,1
Band,Static,9004000,32,0.0029867,1
Band,Dynamic,9004000,1,0.0100444,1
Band,Dynamic,9004000,2,0.0056167,1
Band,Dynamic,9004000,4,0.0031539,1
Band,Dynamic,9004000,8,0.0028321,1
Band,Dynamic,9004000,12,0.0026016,1
Band,Dynamic,9004000,16,0.002517,1
Band,Dynamic,9004000,24,0.00287,1
Band,Dynamic,9004000,32,0.0026451,1
Band,Guided,9004000,1,0.0102694,1
Band,Guided,9004000,2,0.0054693,1
Band,Guided,9004000,4,0.0033074,1
Band,Guided,9004000,8,0.0027113,1
Band,Guided,9004000,12,0.0029473,1
Band,Guided,9004000,16,0.0029119,1
Band,Guided,9004000,24,0.0028982,1
Band,Guided,9004000,32,0.0032018,1
Band,Static,36008000,1,0.0430878,1
Band,Static,36008000,2,0.0371671,1
Band,Static,36008000,4,0.0157498,1
Band,Static,36008000,8,0.0146778,1
Band,Static,36008000,12,0.0113998,1
Band,Static,36008000,16,0.0113349,1
Band,Static,36008000,24,0.0105072,1
Band,Static,36008000,32,0.0102227,1
Band,Dynamic,36008000,1,0.0398142,1
Band,Dynamic,36008000,2,0.0210044,1
Band,Dynamic,36008000,4,0.0121447,1
Band,Dynamic,36008000,8,0.0095832,1
Band,Dynamic,36008000,12,0.0099204,1
Band,Dynamic,36008000,16,0.0094788,1
Band,Dynamic,36008000,24,0.0096863,1
Band,Dynamic,36008000,32,0.0097433,1
Band,Guided,36008000,1,0.0440493,1
Band,Guided,36008000,2,0.0270793,1
Band,Guided,36008000,4,0.0144213,1
Band,Guided,36008000,8,0.011154,1
Band,Guided,36008000,12,0.0098064,1
Band,Guided,36008000,16,0.0097152,1
Band,Guided,36008000,24,0.0096588,1
Band,Guided,36008000,32,0.0097506,1
Band,Static,144016000,1,0.250623,1
Band,Static,144016000,2,0.125511,1
Band,Static,144016000,4,0.0548732,1
Band,Static,144016000,8,0.0548531,1
Band,Static,144016000,12,0.0489569,1
Band,Static,144016000,16,0.0437745,1
Band,Static,144016000,24,0.0381132,1
Band,Static,144016000,32,0.0384643,1
Band,Dynamic,144016000,1,0.251402,1
Band,Dynamic,144016000,2,0.0914561,1
Band,Dynamic,144016000,4,0.0437522,1
Band,Dynamic,144016000,8,0.0482466,1
Band,Dynamic,144016000,12,0.041507,1
Band,Dynamic,144016000,16,0.0410482,1
Band,Dynamic,144016000,24,0.0399128,1
Band,Dynamic,144016000,32,0.0399702,1
Band,Guided,144016000,1,0.207646,1
Band,Guided,144016000,2,0.0951884,1
Band,Guided,144016000,4,0.0530653,1
Band,Guided,144016000,8,0.0390676,1
Band,Guided,144016000,12,0.0369332,1
Band,Guided,144016000,16,0.0371637,1
Band,Guided,144016000,24,0.0473362,1
Band,Guided,144016000,32,0.0391493,1
